new_currency_code,old_currency_code,exchange_rate
ADD,FRF,1
ADP,ESP,1
AED,BHD,1
AED,XPGR,1
AED,XQDR,1
AFA,AFR,1
AFAD,AFA,0.5
AFAR,AFA,1
AFAR,AFAD,2
AFN,AFA,1000
AFN,AFAD,2000
AFN,AFAR,1000
AIF,DJA,1
ALF,HUP,0.4
ALF,ITL,1.332
ALK,ALF,0.2
ALL,ALK,10
ALV,ALL,500
ALX,ALL,1
AMD,RUR,200
AMD,SUR,200
ANG,NLG,1
AOA,AON,1000000000
AOA,AOR,1000000
AOK,AOS,1
AON,AOK,1
AOR,AON,1000
AOS,AOA,1
ARA,ARP,1000
ARL,ARM,100
ARM,ARG,0.44
ARP,ARL,10000
ARS,ARA,10000
ATS,ATO,3
AUD,AUP,0.5
AWG,ANG,1.020408163
AZM,RUR,10
AZN,AZM,5000
AZN,RUR,50000
BAD,YUR,1
BAM,DEM,1
BAN,BAD,10000
BASN,YUN,1
BASO,BASN,1000000
BASO,YUR,1
BBD,XCD,1
BDT,PKR,1
BGL,BGM,10
BGM,BGO,100
BGN,BGL,1000
BHD,USD,2.1
BHD,XPGR,10
BHS,USD,0.342657343
BIF,BRIF,1
BMD,BMP,2.4
BMP,GBP,1
BNBD,SWKD,1
BND,MYR,1
BOB,BOP,1000000
BOL,BOF,1
BOP,BOL,1000
BRB,BRZ,1000
BRC,BRN,1000
BRE,BRS,1
BRIF,CBEF,1
BRL,BRE,2750000
BRL,BRR,2750
BRN,BRC,1000
BRR,BRE,1000
BRZ,BRM,1
BSD,BSP,2.86
BSD,USD,0.98
BSP,GBP,1
BTN,BTR,1
BTN,INR,1
BTR,INR,1
BUR,INR,1
BWP,ZAR,1
BYB,BYL,10
BYL,RUR,1
BYN,BYR,10000
BYR,BYB,1000
BYR,BYL,10000
BYR,RUR,10000
BYR,SUR,10000
BZD,BZH,1
BZH,USD,1
CAD,USD,1
CBEF,BEF,1
CDF,ZRN,100000
CDF,ZRZ,3E+11
CDG,CBEF,1
CDZ,CDG,1000
CFF,XEF,1
CHF,FRF,1
CKD,NZD,1
CLE,CLC,1000
CLP,CLE,1000
CMF,XEF,1
CNY,CNP,10000
COF,XEF,1
COP,XULF,5
CRC,CRP,1
CSD,YUM,1
CSK,CSC,5
CSX,CSK,1
CUP,ESP,5
CUP,USD,1
CUX,USD,1
CVE,CVM,1000
CVE,PTE,1
CYP,GBP,1
CZK,CSK,1
DDK,DEM,0.8
DDM,DDK,1
DDM,DEM,0.8
DEM,DER,10
DHF,XOF,1
DJF,AIF,1
DKK,DKR,0.5
DKK,GLK,1
DKK,XSMK,1
DOP,DOS,5
DOP,USD,1
DZD,DZF,1
DZF,DZG,100
DZF,FRF,1
DZG,FRF,0.01
ECS,ECP,1
EEK,DEM,0.125
EEK,SUR,10
EGP,DZG,1005.128205
EHP,ESP,1
ERN,ETB,1
ESE,FRG,0.4
ESP,ESE,2.5
ESP,FRG,1
ETB,ETD,1
ETD,ETT,0.667
ETD,XEAS,2
EUR,ATS,13.7603
EUR,BEF,40.3399
EUR,CSK,30.126
EUR,CYP,0.585
EUR,DEM,1.95883
EUR,EEK,15.6466
EUR,ESP,166.386
EUR,FIM,5.94573
EUR,FRF,6.55957
EUR,GRD,340.75
EUR,IEP,0.787564
EUR,ITL,1936.27
EUR,LTL,3.4528
EUR,LUF,40.3399
EUR,LVL,0.7028
EUR,MTL,0.4293
EUR,NLG,2.20371
EUR,PTE,200.482
EUR,SIT,239.596
EUR,SKK,30.126
FIM,FIN,100
FIN,FRG,1
FJD,FJP,0.5
FJP,GBP,1
FKP,GBP,1
FOK,DKK,1
FRF,FRG,100
FRF,ICFP,0.1
FRF,REN,1
FRF,XCF,1
FRF,XCOF,1
FRF,XNF,1
FRF,XRF,1
FRG,XPF,0.416666667
GAF,XEF,1
GBP,DZG,980
GBP,EGP,0.975
GBP,XPGR,21
GBP,XSS,20
GEK,RUR,1
GEL,GEK,1000000
GEL,RUR,1000000
GEL,SUR,1000000
GHC,GHR,2
GHC,GHS,10000
GHO,GHP,1
GHP,XWAP,1
GHR,GHO,1.2
GHS,GHC,10000
GIP,GBP,1
GLK,DNK,1
GLK,GLR,0.5
GLR,DNK,2
GMD,GMP,0.2
GMP,XWAP,1
GNF,GNS,1
GNI,XCOF,1
GNS,GNI,10
GQE,GQP,1
GQF,GQE,4
GQP,ESP,1
GRD,GRN,1000
GRP,FRG,1
GRS,FRG,1
GRS,GRP,1
GTQ,GTP,1
GUF,FRF,0.01
GWE,GWM,1
GWE,PTE,1
GWM,PTE,1
GWM,PTM,1
GWP,GWE,1
GWP,XOF,0.015384615
GYD,XBCD,1
HKD,XMSD,1
HNL,HNP,1
HNL,USD,0.5
HNP,USD,0.5
HRD,YUN,1
HRDK,ALF,0.0625
HRDK,HUP,0.025
HRDK,ITL,0.08325
HRDK,ROL,0.25
HRK,HRD,1000
HRKG,HRKO,1000000000
HRKG,YUG,1
HRKO,HRKR,1000000
HRKO,YUO,1
HRKR,YUN,10
HRKR,YUR,1
HTG,FRG,5
HTG,HTN,300
HTG,USD,1
HTN,FRG,0.016666667
HTN,USD,0.003333333
HUF,HUP,4E+20
IBP,GBP,1
IDG,IDJ,2
IDIR,IDN,3.62
IDIR,NLG,1
IDIR,NNGG,1
IDN,IDG,1
IDN,IDJ,2
IDN,MYAD,0.068027211
IDN,NLG,0.276243094
IDN,NNGG,0.276243094
IDR,IDN,1000
IDRR,IDN,14.7
IDRR,MYAD,1
IEP,GBP,1
ILL,ILP,10
ILP,PSP,1
ILS,ILL,1000
IMP,GBP,1
INFP,FRF,10
INPE,INR,0.166666667
INPE,PTE,1
IQD,GBP,1
ISK,DKK,0.5
ISK,ISJ,100
ITL,FRG,1
ITL,HUP,0.3003003
ITL,XITL,1
JMD,JMP,0.5
JOD,PSP,1
JPY,USD,1
KATF,CDG,1
KES,XEAS,1
KGS,RUR,200
KGS,SUR,200
KHR,FRF,10
KHR,INFP,1
KHR,USD,0.25
KMF,MGG,1
KMF,XMCF,1
KPW,KPO,1
KPX,KPW,1
KRH,KRO,100
KRH,USD,0.016666667
KRO,USD,0.000166667
KRW,KRH,10
KWD,GBP,1
KYD,JMD,1
KZR,RUR,1
KZT,KZR,200
KZT,RUR,200
KZT,SUR,200
LAK,LAL,100
LAL,LAO,20
LAO,ICFP,1
LBP,XLSP,1
LIF,CHF,1
LKR,LNR,1
LRD,USD,1
LSL,ZAR,1
LTL,LTT,100
LTL,SUR,100
LTT,SUR,1
LUF,BEF,1
LVL,LVR,200
LVL,SUR,200
LVR,SUR,1
LYD,LYP,1
LYP,DZG,980
LYP,EGP,0.975
LYP,GBP,1
MAD,MAF,100
MCF,MCG,1
MDC,MDR,1
MDL,MDC,1000
MDL,MDR,1000
MDL,SUR,1000
MDR,SUR,1
MGA,MGF,5
MGF,FRF,0.02
MGF,MGG,1
MGF,XMCF,1
MGG,FRF,0.02
MHD,USD,1
MKD,MKN,100
MKD,YUN,100
MKN,YUN,1
MLF,XOF,1
MMK,BUK,1
MMX,USD,1
MNT,RUES,1
MRO,XOF,10
MTL,MTP,1
MTP,GBP,1
MUR,GBP,0.075001875
MVP,LKR,1
MVR,MVP,1
MWK,MWP,0.5
MWP,RHFP,1
MXN,MXP,1000
MYAD,BNBD,1
MYAD,MYAG,1
MYAD,STSD,1
MYAD,SWKD,1
MYR,MYAD,1
MZE,PTE,1
MZM,MZE,1
MZN,MZM,1000
NAD,ZAR,1
NGN,NGP,0.5
NGP,XWAP,1
NHF,FRF,0.055
NHF,FRG,2.4
NHP,FRG,2.4
NIC,NIG,1000
NIG,NIP,12.5
NIO,NIC,5000000
NNGG,NLG,1
NOK,SEK,1
NOK,XSMK,1
NZD,NZP,0.5
NZD,WSP,0.5
NZP,GBP,1
OMR,OMS,1
OMS,GBP,1
OMS,XPGR,21
PAB,USD,1
PEI,PES,1000
PEN,PEI,1000000
PEP,FRG,5
PES,FRG,5
PES,PEP,1
PGK,AUD,1
PKR,INR,1
PLN,PLZ,10000
PLX,USD,1
PLZ,PLO,100
PTC,PTE,1000
PTC,PTR,1000000
PTE,CVM,1000
PTE,INR,0.166666667
PTE,PTM,1
PTE,PTR,1000
PTE,TPP,0.1785
PYG,PYP,100
QAR,XQDR,1
REF,XCFG,1
REN,REF,50
RHD,RHP,0.5
RHFP,RHSP,1
RHP,RHFP,1
ROL,ALF,0.25
ROL,HUP,0.1
ROL,ITL,0.333
RON,ROL,10000
RSD,CSD,1
RUB,RUR,1000
RUB,SUR,1000
RUR,SUR,1
RUTS,RUR,100
RWF,BRIF,1
SAR,XPGR,1.065
SBD,AUD,1
SCR,XSS,1.5
SDD,SDP,10
SDG,SDD,100
SDG,SDP,1000
SDP,EGP,1
SEK,SEM,1
SGD,MYR,1
SHP,GBP,1
SIB,YUN,1
SIT,SIB,1
SIT,YUN,1
SKK,CSK,1
SLL,XWAP,0.5
SML,ITL,1
SOBS,XEAS,1
SON,SOS,1
SOS,XEAS,1
SQS,SOS,1000
SRD,SRG,1000
SRDD,ALF,0.125
SRDD,HRDK,2
SRDD,HUP,0.05
SRDD,ITL,0.1665
SRDD,ROL,0.5
SRG,ANG,1
STD,STE,1
STE,PTE,1
STE,STM,1
STM,PTE,1
STSD,BNBD,1
STSD,MYAG,1
STSD,SWKD,1
SUN,SUG,10
SUR,DEM,0.0125
SUR,SUN,10
SVC,SVP,1
SVP,USD,2
SYP,XLSP,1
SZL,ZAR,1
TCC,JMD,1
TCC,JMP,0.5
TDF,XEF,1
THB,THT,1
TJR,RUR,100
TJS,RUR,100000
TJS,SUR,100000
TJS,TJR,1000
TMM,RUR,500
TMM,SUR,500
TMT,TMM,5000
TND,TNF,1000
TOP,TOS,1
TOS,AUP,1
TPE,PTE,1
TPE,TPP,0.1785
TRL,XOTL,1
TRY,TRL,1000000
TSP,GBP,1
TSP,SHP,1
TVD,AUD,1
TWD,TWN,40000
TZS,XEAS,1
UAH,RUR,100000
UAH,SUR,100000
UAH,UAK,100000
UAK,RUR,1
UAK,SUR,1
UGS,XEAS,1
UGX,UGS,100
USD,DOS,5
USD,ECS,25000
USD,ESP,5
USD,FRG,5
USD,SAR,3.75
USD,SVC,8.75
USD,USC,1000
USD,XMSD,1
USD,ZWD,361.9
UYF,FRG,5
UYP,UYF,1000
UYU,UYP,1000
UZC,RUR,1
UZS,RUR,1000
UZS,SUR,1000
UZS,UZC,1000
VDD,ICFP,0.032
VDN,ICFP,32
VDN,VDD,1000
VDN,VNR,500
VDN,VNS,0.8
VEB,VEV,0.2
VEF,VEB,1000
VGD,USD,1
VND,VNN,10
VNN,VDN,1
VNN,VNS,0.8
VNR,FRF,10
VNR,ICFP,1
VNS,VNR,625
VUV,NHF,1
WSP,NZP,1
WST,NZD,1
WST,WSP,0.5
XAF,CFF,1
XAF,CMF,1
XAF,COF,1
XAF,GAF,1
XAF,GQF,1
XAF,TDF,1
XAF,XEF,1
XBCD,XBWD,1
XBWD,BBP,0.208333333
XBWD,GBP,0.208333333
XBWD,GYD,1
XBWD,TTD,1
XCD,XBCD,1
XCD,XBWD,1
XCF,FRG,50
XCF,XCFG,50
XCFG,FRG,1
XEAF,GBP,0.05
XEAS,ETT,0.3335
XEAS,GBP,0.025
XEAS,XEAF,0.5
XEF,XAEF,1
XINP,INR,1
XMCF,FRG,2
XMCF,MGG,1
XMF,FRF,1
XMSD,MXP,1
XMSD,USC,1000
XNF,GUF,100
XOF,FRF,0.02
XOF,GWP,65
XOF,MLF,2
XOF,XCOF,1
XPF,FRF,0.055
XPF,NHF,1
XPGR,INR,1
XPGR,USD,0.21
XQDR,BHD,1
XQDR,SAR,1
XSMK,SEK,1
XWAP,GBP,1
YDD,XEAS,20
YEI,GBP,0.333333333
YER,GBP,0.333333333
YER,YDD,0.038461538
YER,YEI,1
YUD,YUF,100
YUF,ALF,2.5
YUF,HRD,40
YUF,HRDK,40
YUF,HUP,1
YUF,ITL,3.33
YUF,ROL,10
YUF,SRD,20
YUF,SRDD,20
YUG,HRKO,1000000000
YUG,YUO,1000000000
YUH,DEM,0.0001
YUK,ATEK,1
YUM,DEM,1
YUM,EUR,1.95883
YUM,YUG,10000000
YUN,DEM,0.142857143
YUN,YUD,10000
YUN,YUH,10000
YUO,HRKR,1000000
YUO,YUR,1000000
YUR,BASN,1000000
YUR,YUH,10
YUR,YUN,10
ZAP,GBP,1
ZAR,ZAP,0.5
ZMK,ZMP,0.5
ZMP,RHFP,1
ZMW,ZMK,1000
ZRN,ZRZ,3000000
ZRZ,CDG,1000
ZRZ,CDZ,1
ZWD,RHD,1
ZWN,ZWD,1000
