"to_currency","from_currency","Value","timePointYears","geographicAreaM49","flagObservationStatus","flagMethod","flagCurrency"
"AFN","AFA",1000,"2002","4","B","p",""
"ALL","ALK",10,"1965","8","B","p",""
"AOA","AON",1e+09,"1995","24","B","p",""
"AOA","AOR",1e+06,"1999","24","B","p",""
"AON","AOK",1,"1990","24","B","p",""
"AOR","AON",1000,"1995","24","B","p",""
"ARA","ARP",1000,"1985","32","B","p",""
"ARL","ARM",100,"1970","32","B","p",""
"ARP","ARL",10000,"1983","32","B","p",""
"ARS","ARA",10000,"1991","32","B","p",""
"AZN","AZM",5000,"2005","31","B","p",""
"BGN","BGL",1000,"1999","100","B","p",""
"BOB","BOP",1e+06,"1986","68","B","p",""
"BRC","BRN",1000,"1990","76","B","p",""
"BRL","BRE",2750000,"1993","76","B","p",""
"BRL","BRR",2750,"1994","76","B","p",""
"BRN","BRC",1000,"1989","76","B","p",""
"BRR","BRE",1000,"1993","76","B","p",""
"BYN","BYR",10000,"2016","112","B","p",""
"BYR","BYB",1000,"1999","112","B","p",""
"CDF","ZRN",1e+05,"1998","180","B","p",""
"CDF","ZRZ",3e+11,"1992","180","B","p",""
"EUR","ATS",13.7603,"1998","40","B","p",""
"EUR","BEF",40.3399,"1998","56","B","p",""
"EUR","CYP",0.585,"2005","196","B","p",""
"EUR","DEM",1.95883,"1998","276","B","p",""
"EUR","EEK",15.6466,"2010","233","B","p",""
"EUR","ESP",166.386,"1998","724","B","p",""
"EUR","FIM",5.94573,"1998","246","B","p",""
"EUR","FRF",6.55957,"1998","250","B","p",""
"EUR","GRD",340.75,"2000","300","B","p",""
"EUR","IEP",0.787564,"1998","372","B","p",""
"EUR","ITL",1936.27,"1998","380","B","p",""
"EUR","LTL",3.4528,"2014","440","B","p",""
"EUR","LUF",40.3399,"1998","442","B","p",""
"EUR","LVL",0.7028,"2013","428","B","p",""
"EUR","MTL",0.4293,"2007","470","B","p",""
"EUR","NLG",2.20371,"1998","528","B","p",""
"EUR","PTE",200.482,"1998","620","B","p",""
"EUR","SIT",239.596,"2006","705","B","p",""
"EUR","SKK",30.126,"2008","703","B","p",""
"GHC","GHS",10000,NA,"288","B","p",""
"GHS","GHC",10000,"2007","288","B","p",""
"GNF","GNS",1,"1985","324","B","p",""
"GWP","GWE",1,"1974","624","B","p",""
"GWP","XOF",0.015384615,NA,"624","B","p",""
"HRK","HRD",1000,"1994","191","B","p",""
"ISK","ISJ",100,"1981","352","B","p",""
"LTL","LTT",100,"1993","440","B","p",""
"LYD","LYP",1,"1986","434","B","p",""
"MGA","MGF",5,"2003","450","B","p",""
"MLF","XOF",1,NA,"466","B","p",""
"MMK","BUK",1,"1989","104","B","p",""
"MTL","MTP",1,"1983","470","B","p",""
"MXN","MXP",1000,"1992","484","B","p",""
"MZM","MZE",1,"1979","508","B","p",""
"MZN","MZM",1000,"2006","508","B","p",""
"NIO","NIC",5e+06,"1990","558","B","p",""
"PEI","PES",1000,"1984","604","B","p",""
"PEN","PEI",1e+06,"1991","604","B","p",""
"PLN","PLZ",10000,"1994","616","B","p",""
"RON","ROL",10000,"2005","642","B","p",""
"SDD","SDP",10,"1992","736","B","p",""
"SDG","SDD",100,"2006","736","B","p",""
"SDG","SDP",1000,"1992","736","B","p",""
"SRD","SRG",1000,"2003","740","B","p",""
"TJS","TJR",1000,"2000","762","B","p",""
"TMT","TMM",5000,"2008","795","B","p",""
"TRY","TRL",1e+06,"2005","792","B","p",""
"UAH","UAK",1e+05,"1995","804","B","p",""
"UGX","UGS",100,"1987","800","B","p",""
"USD","ECS",25000,"2000","218","B","p",""
"USD","SVC",8.75,"2001","222","B","p",""
"UYU","UYP",1000,"1975","858","B","p",""
"VEF","VEB",1000,"2007","862","B","p",""
"XOF","GWP",65,"1997","624","B","p",""
"XOF","MLF",2,"1983","466","B","p",""
"YUN","YUD",10000,"1989","890","B","p",""
"ZMW","ZMK",1000,"2012","894","B","p",""
"ZRN","ZRZ",3e+06,"1992","180","B","p",""
"ZWN","ZWD",1000,"2006","716","B","p",""
