FK_DATA_AREACODE_AREA,FK_DATA_ITEMCODE_ITEM,FK_DATA_ELEMENTCODE_ELEMENT,DATA_YEAR,DATA_VALUE,FK_DATA_SYMBOLCODE_SYMBOL,DATA_NOTE,FK_DATA_DATASOURCEISSUEID_DATASOURCEISSUE,FK_DATA_SOURCEID_SOURCES,DATA_SOURCEVOLUME,DATA_SOURCENOTE,FK_DATA_CURRENCYCODE_CURRENCY,DATA_STATUSFLAG
1,680,5530,1997,1738324,Ft,based on Food CPI,,,,,AMD,A
1,680,5530,1998,1846007.8,Ft,based on Food CPI,,,,,AMD,A
1,681,5530,1997,1240721.2,Ft,based on Food CPI,,,,,AMD,A
1,681,5530,1998,1317580.1,Ft,based on Food CPI,,,,,AMD,A
1,618,5530,1991,1973.8,Fm,average fruit price,,,,,RUR,0
1,618,5530,1992,13201.9,Fm,average fruit price,,,,,RUR,A
26,484,5530,2015,1730,Q,,,,,,BND,A
26,484,5530,2016,2900,Q,,,,,,BND,A
14,485,5530,2015,2940,Q,,,,,,BBD,A
14,485,5530,2016,3030,Q,,,,,,BBD,A
1,462,5530,1991,578,Fz,,,,,,RUR,0
1,462,5530,1992,3864,F,,,,,,RUR,A
1,548,5530,1991,5273,Fk,"WPR on pivot commodity 515, apples",,,,,RUR,0
1,548,5530,1992,35278.1,Fk,"WPR on pivot commodity 515, apples",,,,,RUR,A
3,1165,5530,1991,57600,Fm,equal to sheep meat,,,,,ALL,A
3,1165,5530,1992,69551.7,Fm,equal to sheep meat,,,,,ALL,A
14,488,5530,2015,1990,Q,,,,,,BBD,A
14,488,5530,2016,1990,Q,,,,,,BBD,A
9,342,5530,1991,600000,F,Austral/MT-Annual Quest.  FS:Tung nuts (275),,,,,ARA,A
9,342,5530,1992,66,F,FS:Tung nuts (275),,,,,ARS,A
14,487,5530,2015,3690,Q,,,,,,BBD,A
14,487,5530,2016,3650,Q,,,,,,BBD,A
21,794,5530,1991,42933,Q,,,,,,BRE,A
21,794,5530,1992,451748,Q,Cruzeiro/MT-Annual Quest.,,,,,BRE,A
10,553,5530,1996,1747.5,Ft,,,,,,AUD,A
10,553,5530,1997,1900.7,Ft,,,,,,AUD,A
19,1114,5530,1995,1510,Fc,,,,,,BOB,A
19,1114,5530,1996,1590,Fc,,,,,,BOB,A
215,1067,5530,1991,64561.8203125,Ft,Based on AgGDP-Defl Tanzania (Growth rate),,,,,TZS,A
215,1067,5530,1992,60350.2890625,Ft,Based on AgGDP-Defl Tanzania (Growth rate),,,,,TZS,A
